0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:22 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:22 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:22 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:04 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:05 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:05 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:05 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:05 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:06 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:06 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:58:06 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:15:02:55 +0530] "GET /project2frontend/index.html HTTP/1.1" 304 -
